Data Filepath,Stock(s),Data Type,Start-End Date (Values),Scaling Method,Processing Method,Window Size,Model,Date Performed,Batch Size,Learning Rate,Num Epochs,Execution Time (s),Number of Layers,Criterion,Optimizer,Dropout Rate,Train Accuracy,Test Accuracy
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:26:34,32,0.01,100,17.667283296585083,2,CrossEntropyLoss(),Adam,0.2,0.533096926713948,0.4908088235294117
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:35:48,32,0.001,100,17.595242023468018,2,CrossEntropyLoss(),Adam,0.2,0.5177304964539007,0.4898897058823529
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:36:06,32,0.002,100,18.531823873519897,2,CrossEntropyLoss(),Adam,0.2,0.5271867612293144,0.5082720588235294
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:36:25,32,0.003,100,18.87950205802917,2,CrossEntropyLoss(),Adam,0.2,0.5232466509062254,0.4816176470588235
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:36:44,32,0.004,100,18.778053760528564,2,CrossEntropyLoss(),Adam,0.2,0.5145784081954294,0.5147058823529411
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:37:03,32,0.005,100,18.74652099609375,2,CrossEntropyLoss(),Adam,0.2,0.5027580772261623,0.5009191176470589
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:37:22,32,0.006,100,18.967089653015137,2,CrossEntropyLoss(),Adam,0.2,0.5090622537431048,0.5036764705882353
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:37:41,32,0.007,100,18.936938524246216,2,CrossEntropyLoss(),Adam,0.2,0.5031520882584712,0.4917279411764705
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:38:00,32,0.008,100,18.918477058410645,2,CrossEntropyLoss(),Adam,0.2,0.5007880220646178,0.5018382352941176
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:38:19,32,0.009,100,19.050913095474243,2,CrossEntropyLoss(),Adam,0.2,0.4929078014184397,0.5082720588235294
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:38:36,32,0.01,100,17.87874484062195,2,CrossEntropyLoss(),Adam,0.2,0.5236406619385343,0.5174632352941176
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:39:49,32,0.01,100,18.2933931350708,2,CrossEntropyLoss(),Adam,0.2,0.5090622537431048,0.4981617647058823
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:40:07,32,0.02,100,17.769587993621826,2,CrossEntropyLoss(),Adam,0.2,0.5035460992907801,0.4981617647058823
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:40:25,32,0.03,100,17.978706121444702,2,CrossEntropyLoss(),Adam,0.2,0.5228526398739165,0.4917279411764705
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:40:43,32,0.04,100,18.89290976524353,2,CrossEntropyLoss(),Adam,0.2,0.5208825847123719,0.4935661764705882
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:41:02,32,0.05,100,18.902276277542114,2,CrossEntropyLoss(),Adam,0.2,0.5267927501970056,0.4751838235294117
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:41:21,32,0.06,100,18.96514749526977,2,CrossEntropyLoss(),Adam,0.2,0.5240346729708432,0.515625
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:41:40,32,0.0699999999999999,100,18.93273687362671,2,CrossEntropyLoss(),Adam,0.2,0.5169424743892829,0.5045955882352942
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:41:59,32,0.08,100,18.96116018295288,2,CrossEntropyLoss(),Adam,0.2,0.529156816390859,0.5220588235294118
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:42:18,32,0.09,100,19.04076862335205,2,CrossEntropyLoss(),Adam,0.2,0.5063041765169425,0.4944852941176471
technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,,200,gru,2024-12-04 19:42:38,32,0.0999999999999999,100,19.24031400680542,2,CrossEntropyLoss(),Adam,0.2,0.5145784081954294,0.5
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:44:48,32,0.01,100,19.161601066589355,2,CrossEntropyLoss(),Adam,0.2,0.8270291568163909,0.4862132352941176
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:45:07,32,0.02,100,18.70638132095337,2,CrossEntropyLoss(),Adam,0.2,0.7289204097714737,0.4972426470588235
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:45:26,32,0.03,100,18.908852100372314,2,CrossEntropyLoss(),Adam,0.2,0.648936170212766,0.4963235294117647
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:45:45,32,0.04,100,18.694409608840942,2,CrossEntropyLoss(),Adam,0.2,0.623719464144996,0.5
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:46:03,32,0.05,100,18.645029067993164,2,CrossEntropyLoss(),Adam,0.2,0.5973207249802994,0.4972426470588235
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:46:22,32,0.06,100,18.77863311767578,2,CrossEntropyLoss(),Adam,0.2,0.5728920409771474,0.4862132352941176
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:46:41,32,0.0699999999999999,100,18.768907070159912,2,CrossEntropyLoss(),Adam,0.2,0.5697399527186762,0.4889705882352941
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:47:00,32,0.08,100,18.708781957626343,2,CrossEntropyLoss(),Adam,0.2,0.5689519306540584,0.4751838235294117
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:47:19,32,0.09,100,18.87468147277832,2,CrossEntropyLoss(),Adam,0.2,0.5531914893617021,0.4834558823529412
pca_technical_AAPL,AAPL,stock_technical_ind,2010-01-01 - 2024-11-01,standard,pca,200,gru,2024-12-04 19:47:37,32,0.0999999999999999,100,18.81959724426269,2,CrossEntropyLoss(),Adam,0.2,0.557919621749409,0.4816176470588235
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,200,gru,2024-12-06 13:11:52,32,0.01,100,20.45389413833618,2,CrossEntropyLoss(),Adam,0.2,0.9627696590118302,0.5503246753246753
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,400,gru,2024-12-06 13:13:22,32,0.01,100,20.11660385131836,2,CrossEntropyLoss(),Adam,0.2,0.9662385321100916,0.5474764756201882
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,1000,gru,2024-12-06 13:14:55,32,0.01,100,15.97105598449707,2,CrossEntropyLoss(),Adam,0.2,0.9660044150110376,0.5355303810504635
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,1000,gru,2024-12-06 13:37:27,32,0.01,100,447.61649560928345,2,CrossEntropyLoss(),Adam,0.2,0.7995584988962472,0.5128733264675592
pca_SPX_Close,SPX,stock_single_name,2009-06-19 00:00:00 - 2024-11-22 00:00:00,standard,pca,1000,gru,2024-12-06 13:39:57,32,0.01,100,30.320865869522095,2,CrossEntropyLoss(),Adam,0.2,0.9483443708609272,0.5592173017507724
